date,euribor6m
1998q4,3.233
1999q1,2.95
1999q2,2.823
1999q3,3.126
1999q4,3.519
2000q1,4.001
2000q2,4.78
2000q3,5.063
2000q4,4.833
2001q1,4.424
2001q2,4.373
2001q3,3.546
2001q4,3.256
2002q1,3.594
2002q2,3.542
2002q3,3.202
2002q4,2.804
2003q1,2.435
2003q2,2.091
2003q3,2.109
2003q4,2.168
2004q1,1.936
2004q2,2.195
2004q3,2.212
2004q4,2.215
2005q1,2.207
2005q2,2.097
2005q3,2.209
2005q4,2.637
2006q1,2.985
2006q2,3.245
2006q3,3.567
2006q4,3.853
2007q1,4.043
2007q2,4.315
2007q3,4.759
2007q4,4.707
2008q1,4.725
2008q2,5.13
2008q3,5.377
2008q4,2.971
2009q1,1.67
2009q2,1.313
2009q3,1.016
2009q4,0.994
2010q1,0.944
2010q2,1.041
2010q3,1.146
2010q4,1.227
2011q1,1.546
2011q2,1.788
2011q3,1.753
2011q4,1.617
2012q1,1.078
2012q2,0.93
2012q3,0.437
2012q4,0.32
2013q1,0.335
2013q2,0.335
2013q3,0.34
2013q4,0.389
2014q1,0.418
2014q2,0.303
2014q3,0.183
2014q4,0.171
2015q1,0.087
2015q2,0.05
2015q3,0.029
2015q4,-0.04
2016q1,-0.132
2016q2,-0.179
2016q3,-0.203
2016q4,-0.221
2017q1,-0.241
2017q2,-0.271
2017q3,-0.273
2017q4,-0.271
2018q1,-0.271
2018q2,-0.27
2018q3,-0.268
2018q4,-0.237
2019q1,-0.228
2019q2,-0.311
2019q3,-0.386
2019q4,-0.324
2020q1,-0.287
2020q2,-0.308
2020q3,-0.48
2020q4,-0.526
2021q1,-0.509
2021q2,-0.515
2021q3,-0.528
2021q4,-0.546
2022q1,-0.367
2022q2,0.263
2022q3,1.809
2022q4,2.693
2023q1,3.341
2023q2,3.9
2023q3,4.125
2023q4,3.861
2024q1,3.851
2024q2,3.682
2024q3,3.105
2024q4,2.568
2025q1,2.336
2025q2,2.049
2005q3,2.096
